codes,description,statecensus,co,co_nwa,co_sib,co_ptw,co_sing,persons,records
0350,Medical and health services managers,Alabama,0.1963615787271845,0.14441936525167862,0.06970624570862954,0.03597363099111435,0.0530635113603405,4.532393024083331e-5,95
0350,Medical and health services managers,Alaska,0.2639465296798167,0.18707265905098752,0.0671644088592376,0.0671644088592376,0.07350189927837208,9.202845529994311e-6,79
0350,Medical and health services managers,Arizona,0.23494380647636132,0.2003915432466646,0.07240978462578004,0.07240978462578004,0.07935129135726893,1.0708772746483217e-4,118
0350,Medical and health services managers,Arkansas,0.35494225486984377,0.2530501725208305,0.24551747422290973,0.18032926148175082,0.11079914694113577,3.321153526996098e-5,106
0350,Medical and health services managers,California,0.14214478347217427,0.10458777007373884,0.08757207670590064,0.08193978671684359,0.037065354126817204,4.327000422823309e-4,490
0350,Medical and health services managers,Colorado,0.21152199361698532,0.1992844683407704,0.023704086836607297,0.023704086836607297,0.04877248552335403,7.751916513844991e-5,88
0350,Medical and health services managers,Connecticut,0.37748372409015324,0.3607971483172816,0.25066386117862494,0.17032328446482395,0.11069502462376933,4.103894317002072e-5,59
0350,Medical and health services managers,Delaware,0.4011489993841166,0.26127488343080485,0.14335871319261345,0.10449062462960917,0.18013704844588135,1.317264667478303e-5,74
0350,Medical and health services managers,District of Columbia,0.12666170521250916,0.12666170521250916,0.11538509399361627,0.11538509399361627,0.039676825971480555,9.401286077835136e-6,100
0350,Medical and health services managers,Florida,0.20303788367764142,0.12079768305832057,0.10126432893271241,0.09107671486266532,0.044971523769405615,2.687091086113656e-4,282
0350,Medical and health services managers,Georgia,0.48784072908427667,0.39887132423991745,0.25712983302005543,0.23053721466278437,0.1413836953402775,8.764206627342602e-5,101
0350,Medical and health services managers,Hawaii,0.4047345238322399,0.4047345238322399,0.2057265883382822,0.15606867645929304,0,1.3941474986947182e-5,76
0350,Medical and health services managers,Idaho,0.46721527398887763,0.34872593783414885,0.2581029743065439,0.18695365386984253,0,1.855180397627916e-5,88
